Player,Year,Pos,Team,BaseSalary,SigningBonus,Cap Hit,Salary%,Cash,AAV,CONT YR,CONT VALUE,Earnings,FA Year,Sign Year,Sign Age
Jeff Green,2019,SF,HOU,"$144,901",$0,"$91,557",0.001,"$144,901","$14,490",10,"$144,901","$72,746,507",0,2019,32
Joakim Noah,2019,C,LAC,"$144,901",$0,"$91,557",0.001,"$144,901","$14,490",10,"$144,901","$130,066,177",0,2019,33
Anthony Tolliver,2019,PF,SAC,"$144,901",$0,"$91,557",0.001,"$144,901","$14,490",10,"$144,901","$34,536,045",0,2019,33
Joe Chealey,2019,PG,CHA,"$81,678",$0,"$81,678",0.001,"$81,678","$8,168",10,"$81,678","$163,356",0,2019,23
Joe Chealey,2019,PG,CHA,"$81,678",$0,"$81,678",0.001,"$81,678","$8,168",10,"$81,678","$163,356",0,2019,23
Derrick Walton Jr.,2019,PG,DET,"$81,678",$0,"$81,678",0.001,"$81,678","$8,168",10,"$81,678","$1,527,375",0,2019,23
Jarrod Uthoff,2019,PF,MEM,"$81,678",$0,"$81,678",0.001,"$81,678","$8,168",10,"$81,678","$406,925",0,2019,25
Gary Clark,2019,SF,ORL,"$81,678",$0,"$81,678",0.001,"$81,678","$8,168",10,"$81,678","$2,024,063",0,2019,24
Gary Clark,2019,SF,ORL,"$81,678",$0,"$81,678",0.001,"$81,678","$8,168",10,"$81,678","$2,024,063",0,2019,24
Josh Magette,2019,PG,ORL,"$81,678",$0,"$81,678",0.001,"$81,678","$8,168",10,"$81,678","$81,678",0,2019,29
Jonah Bolden,2019,SF,PHX,"$81,678",$0,"$81,678",0.001,"$81,678","$8,168",10,"$81,678","$3,470,128",0,2019,22
Marques Bolden,2019,C,CLE,"$50,752",$0,"$50,752",0.0,"$50,752","$5,075",10,"$50,752","$50,752",0,2019,20
Tyler Cook,2019,C,CLE,"$50,752",$0,"$50,752",0.0,"$50,752","$5,075",10,"$50,752","$151,504",0,2019,21
Tyler Cook,2019,C,CLE,"$50,752",$0,"$50,752",0.0,"$50,752","$5,075",10,"$50,752","$151,504",0,2019,21
Sir'Dominic Pointer,2019,SF,CLE,"$50,752",$0,"$50,752",0.0,"$50,752","$5,075",10,"$50,752","$50,752",0,2019,26
Donta Hall,2019,PF,DET,"$50,752",$0,"$50,752",0.0,"$50,752","$5,075",10,"$50,752","$203,008",0,2019,21
Donta Hall,2019,PF,DET,"$50,752",$0,"$50,752",0.0,"$50,752","$5,075",10,"$50,752","$203,008",0,2019,21
Zach Norvell Jr.,2019,SG,GSW,"$50,752",$0,"$50,752",0.0,"$50,752","$5,075",10,"$50,752","$50,752",0,2019,21
Stephen Curry,2020,PG,GSW,"$43,006,362",$0,"$43,006,362",0.39399999999999996,"$40,491,877","$40,231,758",5,"$201,158,790","$208,955,382",2022,2017,28
Chris Paul,2020,PG,PHX,"$41,358,814",$0,"$41,358,814",0.379,"$41,358,814","$39,932,648",4,"$159,730,592","$299,909,419",2022,2018,32
Russell Westbrook,2020,PG,WAS,"$41,358,814",$0,"$41,358,814",0.379,"$40,158,814","$41,358,814",5,"$206,794,070","$244,370,524",2023,2018,29
James Harden,2020,SG,BKN,"$41,254,920",$0,"$41,254,920",0.37799999999999995,"$34,190,721","$42,782,880",4,"$171,131,520","$224,349,734",2023,2019,29
John Wall,2020,PG,HOU,"$41,254,920",$0,"$41,254,920",0.37799999999999995,"$38,867,483","$42,782,880",4,"$171,131,520","$184,827,108",2023,2019,28
Kevin Durant,2020,SF,BKN,"$39,058,950",$0,"$40,108,950",0.368,"$38,771,513","$41,063,925",4,"$164,255,700","$264,153,846",2023,2019,30
LeBron James,2020,SF,LAL,"$39,219,566",$0,"$39,219,566",0.359,"$39,219,566","$38,328,212",4,"$153,312,846","$346,203,575",0,2018,33
Paul George,2020,SF,LAC,"$35,450,412",$0,"$35,450,412",0.325,"$33,387,565","$34,227,984",4,"$136,911,936","$177,854,610",0,2018,27
Klay Thompson,2020,SG,GSW,"$35,361,360",$0,"$35,361,360",0.324,"$35,361,360","$37,980,720",5,"$189,903,600","$144,363,984",2024,2019,28
Mike Conley,2020,PG,UTA,"$34,502,132",$0,"$34,502,132",0.316,"$34,502,132","$30,521,116",5,"$152,605,578","$206,087,986",2021,2016,28
Kemba Walker,2020,PG,BOS,"$34,379,100",$0,"$34,379,100",0.315,"$34,379,100","$35,197,650",4,"$140,790,600","$123,274,126",2024,2019,28
Kawhi Leonard,2020,SF,LAC,"$34,379,100",$0,"$34,379,100",0.315,"$34,379,100","$34,379,100",3,"$103,137,300","$149,088,735",2022,2019,27
Jimmy Butler,2020,SF,MIA,"$34,379,100",$0,"$34,379,100",0.315,"$34,379,100","$35,197,650",4,"$140,790,600","$144,395,731",0,2019,29
Tobias Harris,2020,PF,PHI,"$34,358,850",$0,"$34,358,850",0.315,"$34,358,850","$36,000,000",5,"$180,000,000","$135,604,355",2024,2019,26
Kyrie Irving,2020,PG,BKN,"$33,329,100",$0,"$33,722,850",0.309,"$33,722,850","$34,122,650",4,"$136,490,600","$158,688,599",2023,2019,26
Khris Middleton,2020,SF,MIL,"$33,051,724",$0,"$33,051,724",0.303,"$33,051,724","$35,500,000",5,"$177,500,000","$120,920,176",2024,2019,27
Anthony Davis,2020,PF,LAL,"$32,742,000",$0,"$32,742,000",0.3,"$32,742,000","$37,980,720",5,"$189,903,600","$152,666,234",2025,2020,26
Damian Lillard,2020,PG,POR,"$31,626,953",$0,"$31,626,953",0.29,"$31,626,953","$27,977,689",5,"$139,888,445","$151,870,966",0,2016,25
Kevin Love,2020,PF,CLE,"$31,258,256",$0,"$31,258,256",0.28600000000000003,"$31,258,256","$30,100,543",4,"$120,402,172","$204,003,178",2023,2019,30
Ben Simmons,2020,PG,PHI,"$30,559,200",$0,"$30,559,200",0.28,"$30,559,200","$35,448,672",5,"$177,243,360","$56,672,529",2025,2020,23
Pascal Siakam,2020,PF,TOR,"$30,559,200",$0,"$30,559,200",0.28,"$30,559,200","$34,226,304",4,"$136,905,216","$36,817,651",2024,2020,25
Kyle Lowry,2020,PG,TOR,"$30,000,000",$0,"$30,500,000",0.27899999999999997,"$30,500,000","$30,500,000",1,"$30,500,000","$190,048,698",2021,2020,33
Steven Adams,2020,C,NOP,"$27,528,088",$0,"$29,592,695",0.271,"$27,528,088","$25,000,000",4,"$100,000,000","$110,144,832",0,2017,23
Nikola Jokic,2020,C,DEN,"$28,542,009",$0,"$29,542,010",0.271,"$29,542,010","$29,542,010",5,"$147,710,050","$85,855,769",2023,2018,22
Andrew Wiggins,2020,SF,GSW,"$29,542,010",$0,"$29,542,010",0.271,"$29,542,010","$29,542,010",5,"$147,710,050","$105,645,094",0,2018,22
Joel Embiid,2020,C,PHI,"$29,542,010",$0,"$29,542,010",0.271,"$29,542,010","$29,542,010",5,"$147,710,050","$100,775,877",0,2018,23
Kristaps Porzingis,2020,PF,DAL,"$29,467,800",$0,"$29,467,800",0.27,"$29,467,800","$31,650,600",5,"$158,253,000","$73,697,582",2024,2019,23
Karl-Anthony Towns,2020,C,MIN,"$29,467,800",$0,"$29,467,800",0.27,"$29,467,800","$31,650,600",5,"$158,253,000","$80,767,523",2024,2019,23
Devin Booker,2020,SG,PHX,"$29,467,800",$0,"$29,467,800",0.27,"$29,467,800","$31,650,600",5,"$158,253,000","$65,032,653",2024,2019,22
C.J. McCollum,2020,SG,POR,"$29,354,152",$0,"$29,354,152",0.26899999999999996,"$29,354,152","$26,658,362",4,"$106,633,449","$115,393,598",2021,2017,25
Bradley Beal,2020,SG,WAS,"$28,751,774",$0,"$28,751,774",0.263,"$28,751,774","$25,434,263",5,"$127,171,313","$144,130,512",2021,2016,22
D'Angelo Russell,2020,PG,MIN,"$28,649,250",$0,"$28,649,250",0.263,"$28,649,250","$29,331,375",4,"$117,325,500","$77,246,916",2023,2019,22
Gordon Hayward,2020,SF,CHA,"$28,500,000",$0,"$28,500,000",0.261,"$28,500,000","$30,000,000",4,"$120,000,000","$176,884,749",2024,2020,29
Otto Porter Jr.,2020,SF,ORL,"$28,489,238",$0,"$28,489,238",0.261,"$10,341,984","$26,631,244",4,"$106,524,975","$124,127,236",2021,2017,23
DeMar DeRozan,2020,SG,SAS,"$27,739,975",$0,"$27,739,975",0.254,"$27,739,975","$27,800,000",5,"$139,000,000","$175,709,827",2021,2016,26
Giannis Antetokounmpo,2020,PF,MIL,"$27,528,088",$0,"$27,528,088",0.252,"$27,528,088","$25,000,000",4,"$100,000,000","$106,999,970",2021,2017,22
Rudy Gobert,2020,C,UTA,"$25,775,281",$0,"$27,525,281",0.252,"$27,525,281","$25,500,000",4,"$102,000,000","$102,690,340",0,2017,24
Al Horford,2020,C,OKC,"$27,500,000",$0,"$27,500,000",0.252,"$27,500,000","$27,250,000",4,"$109,000,000","$212,136,768",0,2019,32
Jamal Murray,2020,PG,DEN,"$27,285,000",$0,"$27,285,000",0.25,"$27,285,000","$31,650,600",5,"$158,253,000","$41,517,909",2025,2020,22
Brandon Ingram,2020,SF,NOP,"$27,285,000",$0,"$27,285,000",0.25,"$27,285,000","$31,650,600",5,"$158,253,000","$50,654,592",2025,2020,22
Jrue Holiday,2020,PG,MIL,"$25,111,111",$0,"$27,026,111",0.248,"$27,026,111","$25,200,000",5,"$126,000,000","$153,638,072",2022,2017,26
Nikola Vucevic,2020,C,CHI,"$26,000,000",$0,"$26,000,000",0.23800000000000002,"$9,438,356","$25,000,000",4,"$100,000,000","$108,338,639",2023,2019,28
Buddy Hield,2020,SG,SAC,"$24,201,834",$0,"$24,971,851",0.22899999999999998,"$24,971,851","$23,500,000",4,"$94,000,000","$40,555,674",2024,2020,27
Jaylen Brown,2020,SG,BOS,"$22,991,071",$0,"$23,437,500",0.215,"$23,437,500","$26,583,334",4,"$106,333,334","$44,433,342",0,2020,23
Draymond Green,2020,PF,GSW,"$22,246,956",$0,"$22,246,956",0.204,"$22,246,956","$24,916,591",4,"$99,666,362","$105,729,003",2024,2020,29
Harrison Barnes,2020,PF,SAC,"$22,215,909",$0,"$22,215,909",0.204,"$22,215,909","$21,250,000",4,"$85,000,000","$127,522,137",2023,2019,26
Fred VanVleet,2020,PG,TOR,"$21,250,000",$0,"$21,250,000",0.195,"$21,250,000","$21,250,000",4,"$85,000,000","$40,521,947",2024,2020,25
Victor Oladipo,2020,SG,MIA,"$21,000,000",$0,"$21,000,000",0.192,"$7,623,288","$21,250,000",4,"$85,000,000","$104,174,940",2021,2017,24
Julius Randle,2020,PF,NYK,"$18,900,000",$0,"$20,790,000",0.19,"$20,790,000","$20,700,000",3,"$62,100,000","$59,851,962",2022,2019,24
Malcolm Brogdon,2020,PG,IND,"$20,700,000",$0,"$20,700,000",0.19,"$20,700,000","$21,250,000",4,"$85,000,000","$43,232,562",0,2019,26
Domantas Sabonis,2020,PF,IND,"$18,500,000",$0,"$19,800,000",0.18100000000000002,"$19,800,000","$18,725,000",4,"$74,900,000","$30,758,958",2024,2020,23
Danilo Gallinari,2020,PF,ATL,"$19,500,000",$0,"$19,500,000",0.179,"$19,500,000","$20,475,000",3,"$61,425,000","$154,979,746",2023,2020,31
Zach LaVine,2020,SG,CHI,"$19,500,000",$0,"$19,500,000",0.179,"$19,500,000","$19,500,000",4,"$78,000,000","$66,928,548",2022,2018,22
Gary Harris,2020,SG,ORL,"$19,160,714",$0,"$19,160,714",0.17600000000000002,"$6,955,602","$21,000,000",4,"$84,000,000","$60,165,517",2022,2018,23
Jerami Grant,2020,PF,DET,"$19,050,000",$0,"$19,050,000",0.175,"$19,050,000","$20,002,500",3,"$60,007,500","$40,740,910",2023,2020,25
Tim Hardaway Jr.,2020,SG,DAL,"$18,975,000",$0,"$18,975,000",0.174,"$18,975,000","$17,737,500",4,"$70,950,000","$79,599,404",2021,2017,24
Terry Rozier,2020,PG,CHA,"$18,900,000",$0,"$18,900,000",0.17300000000000001,"$18,900,000","$18,900,000",3,"$56,700,000","$46,321,026",2022,2019,24
Aaron Gordon,2020,PF,DEN,"$18,136,364",$0,"$18,136,364",0.166,"$6,583,749","$20,000,000",4,"$80,000,000","$76,368,892",2022,2018,22
Bogdan Bogdanovic,2020,SG,ATL,"$18,000,000",$0,"$18,000,000",0.165,"$18,000,000","$18,000,000",4,"$72,000,000","$44,466,913",0,2020,27
Myles Turner,2020,C,IND,"$17,500,000",$0,"$18,000,000",0.165,"$18,000,000","$20,000,000",4,"$80,000,000","$46,176,804",0,2019,22
Goran Dragic,2020,PG,MIA,"$18,000,000",$0,"$18,000,000",0.165,"$18,000,000","$18,000,000",1,"$18,000,000","$131,505,814",2022,2020,33
Bojan Bogdanovic,2020,SF,UTA,"$17,661,000",$0,"$17,850,000",0.16399999999999998,"$17,850,000","$18,275,000",4,"$73,100,000","$65,379,296",0,2019,29
Clint Capela,2020,C,ATL,"$16,000,000",$0,"$17,500,000",0.16,"$17,500,000","$18,000,000",5,"$90,000,000","$52,252,343",0,2018,23
Evan Fournier,2020,SG,BOS,"$17,000,000",$0,"$17,450,000",0.16,"$6,675,685","$17,000,000",5,"$85,000,000","$91,384,369",2021,2016,23
Ricky Rubio,2020,PG,MIN,"$17,000,000",$0,"$17,000,000",0.156,"$17,000,000","$17,000,000",3,"$51,000,000","$102,378,908",2022,2019,28
Eric Bledsoe,2020,PG,NOP,"$16,875,000",$0,"$16,875,000",0.155,"$16,875,000","$17,500,000",4,"$70,000,000","$108,627,507",2023,2019,29
Eric Gordon,2020,SG,HOU,"$16,869,276",$0,"$16,869,276",0.155,"$16,869,276","$18,893,589",4,"$75,574,356","$138,786,115",2024,2020,31
Caris LeVert,2020,SG,IND,"$16,203,704",$0,"$16,203,704",0.14800000000000002,"$13,429,097","$17,500,000",3,"$52,500,000","$23,562,875",2023,2020,25
Joe Harris,2020,SG,BKN,"$16,071,429",$0,"$16,071,429",0.147,"$16,071,429","$18,750,000",4,"$75,000,000","$35,826,936",2024,2020,28
James Johnson,2020,PF,NOP,"$15,794,100",$0,"$16,047,100",0.147,"$6,078,317","$14,431,700",3,"$43,295,100","$76,738,961",2021,2017,29
Dennis Schröder,2020,PG,LAL,"$15,500,000",$0,"$16,000,000",0.147,"$16,000,000","$17,500,000",4,"$70,000,000","$69,042,112",2021,2017,23
Cody Zeller,2020,C,CHA,"$15,415,730",$0,"$15,415,730",0.141,"$15,415,730","$14,000,000",4,"$56,000,000","$72,505,619",2021,2017,24
Danny Green,2020,SF,PHI,"$15,365,854",$0,"$15,365,854",0.141,"$15,365,854","$15,000,000",2,"$30,000,000","$81,692,990",2021,2019,31
Jonas Valanciunas,2020,C,MEM,"$15,000,000",$0,"$15,000,000",0.13699999999999998,"$15,000,000","$15,000,000",3,"$45,000,000","$91,621,944",2022,2019,26
Andre Iguodala,2020,SF,MIA,"$15,000,000",$0,"$15,000,000",0.13699999999999998,"$14,062,500","$15,000,000",2,"$30,000,000","$179,672,344",2022,2020,35
Davis Bertans,2020,PF,WAS,"$15,000,000",$0,"$15,000,000",0.13699999999999998,"$15,000,000","$16,000,000",5,"$80,000,000","$30,418,582",2025,2020,27
Marcus Morris Sr.,2020,SF,LAC,"$14,883,721",$0,"$14,883,721",0.136,"$14,883,721","$16,000,000",4,"$64,000,000","$57,249,640",2024,2020,30
Rudy Gay,2020,PF,SAS,"$14,000,000",$0,"$14,500,000",0.133,"$14,500,000","$16,000,000",2,"$32,000,000","$162,706,820",2021,2019,32
Kelly Oubre Jr.,2020,SF,GSW,"$14,375,000",$0,"$14,375,000",0.132,"$14,375,000","$15,000,000",2,"$30,000,000","$38,251,988",2021,2019,23
Dejounte Murray,2020,PG,SAS,"$14,286,000",$0,"$14,286,000",0.131,"$14,286,000","$16,000,000",4,"$64,000,000","$20,500,269",2024,2020,23
Will Barton,2020,SG,DEN,"$13,723,214",$0,"$13,723,214",0.126,"$13,723,214","$13,250,000",4,"$53,000,000","$50,385,923",2022,2018,26
Thaddeus Young,2020,PF,CHI,"$13,545,000",$0,"$13,545,000",0.124,"$13,545,000","$14,545,000",3,"$43,635,000","$121,213,318",2022,2019,30
Patty Mills,2020,PG,SAS,"$13,285,714",$0,"$13,535,714",0.124,"$13,535,714","$12,000,000",4,"$48,000,000","$62,348,896",2021,2017,28
Terrence Ross,2020,SG,ORL,"$13,500,000",$0,"$13,500,000",0.124,"$13,500,000","$13,500,000",4,"$54,000,000","$67,808,587",2023,2019,27
Marcus Smart,2020,PG,BOS,"$12,946,428",$0,"$13,446,428",0.12300000000000001,"$13,446,428","$12,999,975",4,"$51,999,900","$51,707,283",2022,2018,23
Malik Beasley,2020,SG,MIN,"$13,325,895","$100,000","$13,425,895",0.12300000000000001,"$13,625,895","$15,000,000",4,"$60,000,000","$21,288,677",2024,2020,23
Patrick Beverley,2020,PG,LAC,"$13,333,333",$0,"$13,333,333",0.122,"$13,333,333","$13,333,333",3,"$40,000,000","$50,708,797",0,2019,30
Christian Wood,2020,PF,HOU,"$13,015,874",$0,"$13,015,874",0.11900000000000001,"$13,015,874","$13,666,667",3,"$41,000,000","$17,251,422",2023,2020,24
J.J. Redick,2020,SG,DAL,"$13,013,700",$0,"$13,013,700",0.11900000000000001,"$4,724,151","$13,250,000",2,"$26,500,000","$116,423,821",2021,2019,34
Justise Winslow,2020,SF,MEM,"$13,000,000",$0,"$13,000,000",0.11900000000000001,"$13,000,000","$13,000,000",2,"$26,000,000","$36,416,626",2022,2019,22
Jusuf Nurkic,2020,C,POR,"$12,888,889",$0,"$12,888,889",0.11800000000000001,"$12,888,889","$12,000,000",4,"$48,000,000","$47,395,180",2022,2018,23
Kelly Olynyk,2020,PF,HOU,"$12,198,243",$0,"$12,819,650",0.11699999999999999,"$4,828,130","$12,500,000",4,"$50,000,000","$58,161,784",2021,2017,25
Trevor Ariza,2020,SF,MIA,"$12,800,000",$0,"$12,800,000",0.11699999999999999,"$5,260,274","$12,500,000",2,"$25,000,000","$114,232,977",2021,2019,33
Brook Lopez,2020,C,MIL,"$12,697,675",$0,"$12,697,675",0.11599999999999999,"$12,697,675","$13,000,000",4,"$52,000,000","$144,840,372",2023,2019,30
Cory Joseph,2020,PG,DET,"$12,600,000",$0,"$12,600,000",0.115,"$4,573,973","$12,400,000",3,"$37,200,000","$58,717,660",2022,2019,27
Markelle Fultz,2020,PG,ORL,"$12,288,697",$0,"$12,288,697",0.113,"$12,288,697","$9,350,004",4,"$37,400,017","$36,790,942",0,2017,18
Taurean Prince,2020,PF,CLE,"$12,250,000",$0,"$12,250,000",0.11199999999999999,"$10,152,397","$12,625,000",2,"$25,250,000","$22,782,042",2022,2020,25
Tony Snell,2020,SG,ATL,"$12,178,571",$0,"$12,178,571",0.11199999999999999,"$12,178,571","$11,500,000",4,"$46,000,000","$50,273,593",2021,2017,25
Robert Covington,2020,PF,POR,"$12,138,345",$0,"$12,138,345",0.111,"$12,138,345","$11,719,782",4,"$46,879,127","$53,551,309",2022,2018,27
Kentavious Caldwell-Pope,2020,SG,LAL,"$12,073,020",$0,"$12,073,020",0.111,"$12,073,020","$13,038,862",3,"$39,116,585","$61,448,255",0,2020,26
T.J. Warren,2020,SF,IND,"$11,750,000",$0,"$12,000,000",0.11,"$11,750,000","$11,750,000",4,"$47,000,000","$42,910,426",2022,2018,24
Larry Nance Jr.,2020,PF,CLE,"$11,709,091",$0,"$11,709,091",0.107,"$11,709,091","$11,200,000",4,"$44,800,000","$29,747,962",0,2019,25
Jordan Clarkson,2020,SG,UTA,"$11,500,000",$0,"$11,500,000",0.105,"$11,500,000","$12,880,000",4,"$51,520,000","$61,172,707",2024,2020,27
Spencer Dinwiddie,2020,PG,BKN,"$11,454,048",$0,"$11,454,048",0.105,"$11,454,048","$11,454,048",3,"$34,362,144","$27,693,985",2022,2019,25
Dillon Brooks,2020,SF,MEM,"$11,400,000",$0,"$11,400,000",0.10400000000000001,"$11,400,000","$11,666,667",3,"$35,000,000","$15,111,220",2023,2020,23
Dwight Powell,2020,C,DAL,"$11,080,125",$0,"$11,080,125",0.102,"$11,080,125","$11,080,125",3,"$33,240,375","$49,060,059",2023,2020,28
Lonzo Ball,2020,PG,NOP,"$11,003,782",$0,"$11,003,782",0.10099999999999999,"$11,003,782","$8,367,906",4,"$33,471,622","$32,926,665",2021,2017,19
Josh Richardson,2020,SG,DAL,"$10,865,952",$0,"$10,865,952",0.1,"$10,865,952","$10,491,264",4,"$41,965,056","$32,588,553",0,2018,24
Norman Powell,2020,SG,POR,"$10,865,952",$0,"$10,865,952",0.1,"$3,944,489","$10,491,264",4,"$41,965,056","$32,713,460",2022,2018,24
Joe Ingles,2020,SF,UTA,"$10,363,637",$0,"$10,863,637",0.1,"$10,863,637","$13,000,000",4,"$52,000,000","$54,060,179",0,2017,29
Jeremy Lamb,2020,SG,IND,"$10,500,000",$0,"$10,500,000",0.096,"$10,500,000","$10,500,000",3,"$31,500,000","$50,711,466",2022,2019,26
DeAndre Jordan,2020,C,BKN,"$10,375,678",$0,"$10,375,678",0.095,"$10,375,678","$9,990,179",4,"$39,960,716","$149,247,051",2023,2019,30
Zion Williamson,2020,PF,NOP,"$10,245,480",$0,"$10,245,480",0.094,"$10,245,480","$11,067,784",4,"$44,271,137","$19,393,080",0,2019,18
Rodney Hood,2020,SF,TOR,"$10,047,450",$0,"$10,047,450",0.092,"$3,647,362","$10,449,348",2,"$20,898,696","$25,313,146",2022,2020,27
Deandre Ayton,2020,C,PHX,"$10,018,200",$0,"$10,018,200",0.092,"$10,018,200","$10,094,808",4,"$40,379,230","$27,148,598",2022,2018,19
Tomas Satoransky,2020,SG,CHI,"$10,000,000",$0,"$10,000,000",0.092,"$10,000,000","$10,000,000",3,"$30,000,000","$28,375,000",2022,2019,27
Paul Millsap,2020,PF,DEN,"$10,000,000",$0,"$10,000,000",0.092,"$10,000,000","$10,000,000",1,"$10,000,000","$189,898,867",2021,2020,34
Jayson Tatum,2020,PF,BOS,"$9,897,120",$0,"$9,897,120",0.091,"$9,897,120","$7,518,330",4,"$30,073,320","$29,583,945",0,2017,18
Anthony Edwards,2020,SG,MIN,"$9,757,440",$0,"$9,757,440",0.08900000000000001,"$9,757,440","$11,067,784",4,"$44,271,137","$9,757,440",2024,2020,18
Al-Farouq Aminu,2020,PF,CHI,"$9,720,900",$0,"$9,720,900",0.08900000000000001,"$3,528,820","$9,720,900",3,"$29,162,700","$60,859,971",2022,2019,28
Dante Exum,2020,PG,HOU,"$9,100,000",$0,"$9,600,000",0.08800000000000001,"$8,041,781","$11,000,000",3,"$33,000,000","$44,556,675",2021,2018,22
George Hill,2020,PG,PHI,"$9,590,602",$0,"$9,590,602",0.08800000000000001,"$3,481,520","$9,590,602",3,"$28,771,806","$103,077,945",2022,2019,32
De'Anthony Melton,2020,SG,MEM,"$9,571,712",$0,"$9,571,712",0.08800000000000001,"$9,571,712","$8,656,922",4,"$34,627,688","$11,849,011",2024,2020,21
Kyle Anderson,2020,PF,MEM,"$9,505,100",$0,"$9,505,100",0.087,"$9,505,100","$9,289,075",4,"$37,156,300","$32,232,428",2022,2018,24
Tristan Thompson,2020,C,BOS,"$9,258,000",$0,"$9,258,000",0.085,"$9,258,000","$9,489,450",2,"$18,978,900","$106,193,433",2022,2020,28
Serge Ibaka,2020,C,LAC,"$9,258,000",$0,"$9,258,000",0.085,"$9,258,000","$9,489,450",2,"$18,978,900","$127,617,830",2022,2020,30
Montrezl Harrell,2020,C,LAL,"$9,258,000",$0,"$9,258,000",0.085,"$9,258,000","$9,489,450",2,"$18,978,900","$24,399,382",2022,2020,25
Jae Crowder,2020,SF,PHX,"$9,258,000",$0,"$9,258,000",0.085,"$9,258,000","$9,720,900",3,"$29,162,700","$46,074,135",2023,2020,29
Derrick Jones Jr.,2020,SF,POR,"$9,258,000",$0,"$9,258,000",0.085,"$9,258,000","$9,489,450",2,"$18,978,900","$13,257,052",2022,2020,22
Derrick Favors,2020,C,UTA,"$9,258,000",$0,"$9,258,000",0.085,"$9,258,000","$9,720,900",3,"$29,162,700","$110,826,034",2023,2020,28
Dario Saric,2020,PF,PHX,"$9,250,000",$0,"$9,250,000",0.085,"$9,250,000","$9,000,000",3,"$27,000,000","$19,782,042",2023,2020,25
Ja Morant,2020,PG,MEM,"$9,166,800",$0,"$9,166,800",0.084,"$9,166,800","$9,904,960",4,"$39,619,840","$17,897,040",0,2019,19
Delon Wright,2020,PG,SAC,"$9,000,000",$0,"$9,000,000",0.08199999999999999,"$3,267,123","$9,350,000",3,"$28,050,000","$25,150,317",2022,2019,26
Marvin Bagley III,2020,PF,SAC,"$8,963,640",$0,"$8,963,640",0.08199999999999999,"$8,963,640","$9,034,369",4,"$36,137,474","$24,290,603",2022,2018,18
Cedi Osman,2020,SF,CLE,"$8,840,580",$0,"$8,840,580",0.081,"$8,840,580","$7,779,711",4,"$31,118,844","$16,975,948",2024,2020,24
Tyus Jones,2020,PG,MEM,"$7,965,100",$0,"$8,817,143",0.081,"$8,817,143","$8,815,100",3,"$26,445,300","$24,033,713",2022,2019,22
James Wiseman,2020,C,GSW,"$8,730,240",$0,"$8,730,240",0.08,"$8,730,240","$9,904,960",4,"$39,619,840","$8,730,240",2024,2020,18
Royce O'Neale,2020,SF,UTA,"$8,500,000",$0,"$8,500,000",0.078,"$8,500,000","$9,000,000",4,"$36,000,000","$12,211,220",2024,2020,26
Maxi Kleber,2020,PF,DAL,"$8,150,000",$0,"$8,475,000",0.078,"$8,475,000","$8,900,000",4,"$35,600,000","$18,743,857",0,2019,26
Thomas Bryant,2020,C,WAS,"$8,333,333",$0,"$8,333,333",0.076,"$8,333,333","$8,333,333",3,"$25,000,000","$18,027,190",2022,2019,21
Rajon Rondo,2020,PG,LAC,"$7,500,000",$0,"$8,250,000",0.076,"$3,472,603","$7,500,000",2,"$15,000,000","$108,277,250",2022,2020,33
R.J. Barrett,2020,SG,NYK,"$8,231,760",$0,"$8,231,760",0.075,"$8,231,760","$8,899,069",4,"$35,596,275","$16,071,720",0,2019,18
Jakob Poeltl,2020,C,SAS,"$8,101,852",$0,"$8,101,852",0.07400000000000001,"$8,101,852","$8,750,000",3,"$26,250,000","$20,098,978",2023,2020,24
De'Aaron Fox,2020,PG,SAC,"$8,099,627",$0,"$8,099,627",0.07400000000000001,"$8,099,627","$6,143,127",4,"$24,572,507","$24,172,960",0,2017,19
Luka Doncic,2020,PG,DAL,"$8,049,360",$0,"$8,049,360",0.07400000000000001,"$8,049,360","$8,116,938",4,"$32,467,751","$21,813,150",2022,2018,18
Louis Williams,2020,SG,ATL,"$8,000,000",$0,"$8,000,000",0.073,"$2,904,110","$8,000,000",3,"$24,000,000","$80,698,368",2021,2018,31
Mason Plumlee,2020,C,DET,"$8,000,000",$0,"$8,000,000",0.073,"$8,000,000","$8,220,833",3,"$24,662,500","$54,522,202",2023,2020,29
P.J. Tucker,2020,PF,MIL,"$7,969,537",$0,"$7,969,537",0.073,"$3,220,566","$7,969,537",4,"$31,878,148","$49,915,539",2021,2017,31
LaMelo Ball,2020,PG,CHA,"$7,839,960",$0,"$7,839,960",0.07200000000000001,"$7,839,960","$8,899,069",4,"$35,596,275","$7,839,960",2024,2020,18
Seth Curry,2020,SG,PHI,"$7,834,449",$0,"$7,834,449",0.07200000000000001,"$7,834,449","$8,000,000",4,"$32,000,000","$24,843,292",2023,2019,28
Derrick Rose,2020,PG,NYK,"$7,682,927",$0,"$7,682,927",0.07,"$5,157,033","$7,500,000",2,"$15,000,000","$134,958,549",2021,2019,30
Cristiano Felicio,2020,PF,CHI,"$7,529,020",$0,"$7,529,020",0.069,"$7,529,020","$8,000,000",4,"$32,000,000","$32,889,948",2021,2017,24
De'Andre Hunter,2020,SF,ATL,"$7,422,000",$0,"$7,422,000",0.068,"$7,422,000","$8,025,410",4,"$32,101,641","$14,048,588",0,2019,21
